[2026-02-18 10:01:32] --- ALERT SYSTEM REBOOTED ---
[2026-02-18 10:04:29] --- ALERT SYSTEM REBOOTED ---
[2026-02-18 10:05:00] >>> RECEIVE_IOT_DATA START: Email=skunthal@gitam.in
[2026-02-18 10:05:00] >>> RECEIVE_IOT_DATA START: Email=skunthal@gitam.in
[2026-02-18 10:05:00] >>> RECEIVE_IOT_DATA START: Email=skunthal@gitam.in
[2026-02-18 10:05:01] >>> RECEIVE_IOT_DATA START: Email=skunthal@gitam.in
[2026-02-18 10:05:01] >>> RECEIVE_IOT_DATA START: Email=skunthal@gitam.in
[2026-02-18 10:05:02] >>> RECEIVE_IOT_DATA START: Email=skunthal@gitam.in
[2026-02-18 10:05:02] >>> RECEIVE_IOT_DATA START: Email=skunthal@gitam.in
[2026-02-18 10:05:02] >>> RECEIVE_IOT_DATA START: Email=skunthal@gitam.in
[2026-02-18 10:05:03] >>> RECEIVE_IOT_DATA START: Email=skunthal@gitam.in
[2026-02-18 10:05:03] >>> RECEIVE_IOT_DATA START: Email=skunthal@gitam.in
[2026-02-18 10:05:04] >>> RECEIVE_IOT_DATA START: Email=skunthal@gitam.in
[2026-02-18 10:05:04] >>> RECEIVE_IOT_DATA START: Email=skunthal@gitam.in
[2026-02-18 10:05:05] >>> RECEIVE_IOT_DATA START: Email=skunthal@gitam.in
[2026-02-18 10:05:05] >>> RECEIVE_IOT_DATA START: Email=skunthal@gitam.in
[2026-02-18 10:05:05] >>> RECEIVE_IOT_DATA START: Email=skunthal@gitam.in
[2026-02-18 10:05:06] >>> RECEIVE_IOT_DATA START: Email=skunthal@gitam.in
[2026-02-18 10:05:06] >>> RECEIVE_IOT_DATA START: Email=skunthal@gitam.in
[2026-02-18 10:05:07] >>> RECEIVE_IOT_DATA START: Email=skunthal@gitam.in
[2026-02-18 10:05:07] >>> RECEIVE_IOT_DATA START: Email=skunthal@gitam.in
[2026-02-18 10:05:07] >>> RECEIVE_IOT_DATA START: Email=skunthal@gitam.in
[2026-02-18 10:05:08] >>> RECEIVE_IOT_DATA START: Email=skunthal@gitam.in
[2026-02-18 10:05:08] >>> RECEIVE_IOT_DATA START: Email=skunthal@gitam.in
[2026-02-18 10:05:09] >>> RECEIVE_IOT_DATA START: Email=skunthal@gitam.in
[2026-02-18 10:05:09] >>> RECEIVE_IOT_DATA START: Email=skunthal@gitam.in
[2026-02-18 10:05:09] >>> RECEIVE_IOT_DATA START: Email=skunthal@gitam.in
[2026-02-18 10:05:10] >>> RECEIVE_IOT_DATA START: Email=skunthal@gitam.in
[2026-02-18 10:05:10] >>> RECEIVE_IOT_DATA START: Email=skunthal@gitam.in
[2026-02-18 10:05:10] >>> RECEIVE_IOT_DATA START: Email=skunthal@gitam.in
[2026-02-18 10:05:11] >>> RECEIVE_IOT_DATA START: Email=skunthal@gitam.in
[2026-02-18 10:05:11] >>> RECEIVE_IOT_DATA START: Email=skunthal@gitam.in
[2026-02-18 10:05:12] >>> RECEIVE_IOT_DATA START: Email=skunthal@gitam.in
[2026-02-18 10:05:12] >>> RECEIVE_IOT_DATA START: Email=skunthal@gitam.in
[2026-02-18 10:05:12] >>> RECEIVE_IOT_DATA START: Email=skunthal@gitam.in
[2026-02-18 10:05:13] >>> RECEIVE_IOT_DATA START: Email=skunthal@gitam.in
[2026-02-18 10:05:13] >>> RECEIVE_IOT_DATA START: Email=skunthal@gitam.in
[2026-02-18 10:05:14] >>> RECEIVE_IOT_DATA START: Email=skunthal@gitam.in
[2026-02-18 10:05:14] >>> RECEIVE_IOT_DATA START: Email=skunthal@gitam.in
[2026-02-18 10:05:14] >>> RECEIVE_IOT_DATA START: Email=skunthal@gitam.in
[2026-02-18 10:05:15] >>> RECEIVE_IOT_DATA START: Email=skunthal@gitam.in
[2026-02-18 10:05:15] >>> RECEIVE_IOT_DATA START: Email=skunthal@gitam.in
[2026-02-18 10:05:16] >>> RECEIVE_IOT_DATA START: Email=skunthal@gitam.in
[2026-02-18 10:05:16] >>> RECEIVE_IOT_DATA START: Email=skunthal@gitam.in
[2026-02-18 10:05:16] >>> RECEIVE_IOT_DATA START: Email=skunthal@gitam.in
[2026-02-18 10:05:17] >>> RECEIVE_IOT_DATA START: Email=skunthal@gitam.in
[2026-02-18 10:05:17] >>> RECEIVE_IOT_DATA START: Email=skunthal@gitam.in
[2026-02-18 10:05:18] >>> RECEIVE_IOT_DATA START: Email=skunthal@gitam.in
[2026-02-18 10:05:18] >>> RECEIVE_IOT_DATA START: Email=skunthal@gitam.in
[2026-02-18 10:05:18] >>> RECEIVE_IOT_DATA START: Email=skunthal@gitam.in
[2026-02-18 10:05:19] >>> RECEIVE_IOT_DATA START: Email=skunthal@gitam.in
[2026-02-18 10:05:19] >>> RECEIVE_IOT_DATA START: Email=skunthal@gitam.in
[2026-02-18 10:05:20] >>> RECEIVE_IOT_DATA START: Email=skunthal@gitam.in
[2026-02-18 10:05:20] >>> RECEIVE_IOT_DATA START: Email=skunthal@gitam.in
[2026-02-18 10:05:20] >>> RECEIVE_IOT_DATA START: Email=skunthal@gitam.in
[2026-02-18 10:05:21] >>> RECEIVE_IOT_DATA START: Email=skunthal@gitam.in
[2026-02-18 10:05:21] >>> RECEIVE_IOT_DATA START: Email=skunthal@gitam.in
[2026-02-18 10:05:22] >>> RECEIVE_IOT_DATA START: Email=skunthal@gitam.in
[2026-02-18 10:05:22] >>> RECEIVE_IOT_DATA START: Email=skunthal@gitam.in
[2026-02-18 10:05:22] >>> RECEIVE_IOT_DATA START: Email=skunthal@gitam.in
[2026-02-18 10:05:23] >>> RECEIVE_IOT_DATA START: Email=skunthal@gitam.in
[2026-02-18 10:05:23] >>> RECEIVE_IOT_DATA START: Email=skunthal@gitam.in
[2026-02-18 10:05:24] >>> RECEIVE_IOT_DATA START: Email=skunthal@gitam.in
[2026-02-18 10:05:24] >>> RECEIVE_IOT_DATA START: Email=skunthal@gitam.in
[2026-02-18 10:05:24] >>> RECEIVE_IOT_DATA START: Email=skunthal@gitam.in
[2026-02-18 10:05:25] >>> RECEIVE_IOT_DATA START: Email=skunthal@gitam.in
[2026-02-18 10:05:25] >>> RECEIVE_IOT_DATA START: Email=skunthal@gitam.in
[2026-02-18 10:05:25] >>> RECEIVE_IOT_DATA START: Email=skunthal@gitam.in
[2026-02-18 10:05:26] >>> RECEIVE_IOT_DATA START: Email=skunthal@gitam.in
[2026-02-18 10:05:27] >>> RECEIVE_IOT_DATA START: Email=skunthal@gitam.in
[2026-02-18 10:05:27] >>> RECEIVE_IOT_DATA START: Email=skunthal@gitam.in
[2026-02-18 10:05:28] >>> RECEIVE_IOT_DATA START: Email=skunthal@gitam.in
[2026-02-18 10:05:28] >>> RECEIVE_IOT_DATA START: Email=skunthal@gitam.in
[2026-02-18 10:05:28] >>> RECEIVE_IOT_DATA START: Email=skunthal@gitam.in
[2026-02-18 10:05:29] >>> RECEIVE_IOT_DATA START: Email=skunthal@gitam.in
[2026-02-18 10:05:29] >>> RECEIVE_IOT_DATA START: Email=skunthal@gitam.in
[2026-02-18 10:05:30] >>> RECEIVE_IOT_DATA START: Email=skunthal@gitam.in
[2026-02-18 10:05:30] >>> RECEIVE_IOT_DATA START: Email=skunthal@gitam.in
[2026-02-18 10:05:31] >>> RECEIVE_IOT_DATA START: Email=skunthal@gitam.in
[2026-02-18 10:05:31] >>> RECEIVE_IOT_DATA START: Email=skunthal@gitam.in
[2026-02-18 10:05:32] >>> RECEIVE_IOT_DATA START: Email=skunthal@gitam.in
[2026-02-18 10:05:32] >>> RECEIVE_IOT_DATA START: Email=skunthal@gitam.in
[2026-02-18 10:05:33] >>> RECEIVE_IOT_DATA START: Email=skunthal@gitam.in
[2026-02-18 10:05:33] >>> RECEIVE_IOT_DATA START: Email=skunthal@gitam.in
[2026-02-18 10:05:34] >>> RECEIVE_IOT_DATA START: Email=skunthal@gitam.in
[2026-02-18 10:05:34] >>> RECEIVE_IOT_DATA START: Email=skunthal@gitam.in
[2026-02-18 10:05:35] >>> RECEIVE_IOT_DATA START: Email=skunthal@gitam.in
[2026-02-18 10:05:35] >>> RECEIVE_IOT_DATA START: Email=skunthal@gitam.in
[2026-02-18 10:05:36] >>> RECEIVE_IOT_DATA START: Email=skunthal@gitam.in
[2026-02-18 10:05:36] >>> RECEIVE_IOT_DATA START: Email=skunthal@gitam.in
[2026-02-18 10:05:36] >>> RECEIVE_IOT_DATA START: Email=skunthal@gitam.in
[2026-02-18 10:05:37] >>> RECEIVE_IOT_DATA START: Email=skunthal@gitam.in
[2026-02-18 10:05:37] >>> RECEIVE_IOT_DATA START: Email=skunthal@gitam.in
[2026-02-18 10:05:38] >>> RECEIVE_IOT_DATA START: Email=skunthal@gitam.in
[2026-02-18 10:05:39] >>> RECEIVE_IOT_DATA START: Email=skunthal@gitam.in
[2026-02-18 10:05:39] >>> RECEIVE_IOT_DATA START: Email=skunthal@gitam.in
[2026-02-18 10:05:39] >>> RECEIVE_IOT_DATA START: Email=skunthal@gitam.in
[2026-02-18 10:05:40] >>> RECEIVE_IOT_DATA START: Email=skunthal@gitam.in
[2026-02-18 10:05:40] >>> RECEIVE_IOT_DATA START: Email=skunthal@gitam.in
[2026-02-18 10:05:41] >>> RECEIVE_IOT_DATA START: Email=skunthal@gitam.in
[2026-02-18 10:05:41] >>> RECEIVE_IOT_DATA START: Email=skunthal@gitam.in
[2026-02-18 10:05:41] >>> RECEIVE_IOT_DATA START: Email=skunthal@gitam.in
[2026-02-18 10:05:42] >>> RECEIVE_IOT_DATA START: Email=skunthal@gitam.in
[2026-02-18 10:05:42] >>> RECEIVE_IOT_DATA START: Email=skunthal@gitam.in
[2026-02-18 10:05:43] >>> RECEIVE_IOT_DATA START: Email=skunthal@gitam.in
[2026-02-18 10:05:43] >>> RECEIVE_IOT_DATA START: Email=skunthal@gitam.in
[2026-02-18 10:05:44] >>> RECEIVE_IOT_DATA START: Email=skunthal@gitam.in
[2026-02-18 10:05:44] >>> RECEIVE_IOT_DATA START: Email=skunthal@gitam.in
[2026-02-18 10:05:44] >>> RECEIVE_IOT_DATA START: Email=skunthal@gitam.in
[2026-02-18 10:05:45] >>> RECEIVE_IOT_DATA START: Email=skunthal@gitam.in
[2026-02-18 10:05:45] >>> RECEIVE_IOT_DATA START: Email=skunthal@gitam.in
[2026-02-18 10:05:46] >>> RECEIVE_IOT_DATA START: Email=skunthal@gitam.in
[2026-02-18 10:05:46] >>> RECEIVE_IOT_DATA START: Email=skunthal@gitam.in
[2026-02-18 10:05:47] >>> RECEIVE_IOT_DATA START: Email=skunthal@gitam.in
[2026-02-18 10:05:47] >>> RECEIVE_IOT_DATA START: Email=skunthal@gitam.in
[2026-02-18 10:05:47] >>> RECEIVE_IOT_DATA START: Email=skunthal@gitam.in
[2026-02-18 10:05:49] --- ALERT SYSTEM REBOOTED ---
[2026-02-18 10:05:53] >>> RECEIVE_IOT_DATA START: Email=skunthal@gitam.in
[2026-02-18 10:05:54] >>> RECEIVE_IOT_DATA START: Email=skunthal@gitam.in
[2026-02-18 10:05:54] >>> RECEIVE_IOT_DATA START: Email=skunthal@gitam.in
[2026-02-18 10:05:54] >>> RECEIVE_IOT_DATA START: Email=skunthal@gitam.in
[2026-02-18 10:05:55] >>> RECEIVE_IOT_DATA START: Email=skunthal@gitam.in
[2026-02-18 10:05:56] >>> RECEIVE_IOT_DATA START: Email=skunthal@gitam.in
[2026-02-18 10:05:57] >>> RECEIVE_IOT_DATA START: Email=skunthal@gitam.in
[2026-02-18 10:05:57] >>> RECEIVE_IOT_DATA START: Email=skunthal@gitam.in
[2026-02-18 10:05:58] >>> RECEIVE_IOT_DATA START: Email=skunthal@gitam.in
[2026-02-18 10:05:58] >>> RECEIVE_IOT_DATA START: Email=skunthal@gitam.in
[2026-02-18 10:05:58] >>> RECEIVE_IOT_DATA START: Email=skunthal@gitam.in
[2026-02-18 10:05:59] >>> RECEIVE_IOT_DATA START: Email=skunthal@gitam.in
[2026-02-18 10:05:59] >>> RECEIVE_IOT_DATA START: Email=skunthal@gitam.in
[2026-02-18 10:06:00] >>> RECEIVE_IOT_DATA START: Email=skunthal@gitam.in
[2026-02-18 10:06:00] >>> RECEIVE_IOT_DATA START: Email=skunthal@gitam.in
[2026-02-18 10:06:01] >>> RECEIVE_IOT_DATA START: Email=skunthal@gitam.in
[2026-02-18 10:06:01] >>> RECEIVE_IOT_DATA START: Email=skunthal@gitam.in
[2026-02-18 10:06:02] >>> RECEIVE_IOT_DATA START: Email=skunthal@gitam.in
[2026-02-18 10:06:02] >>> RECEIVE_IOT_DATA START: Email=skunthal@gitam.in
[2026-02-18 10:06:02] >>> RECEIVE_IOT_DATA START: Email=skunthal@gitam.in
[2026-02-18 10:06:03] >>> RECEIVE_IOT_DATA START: Email=skunthal@gitam.in
[2026-02-18 10:06:03] >>> RECEIVE_IOT_DATA START: Email=skunthal@gitam.in
[2026-02-18 10:06:03] >>> RECEIVE_IOT_DATA START: Email=skunthal@gitam.in
[2026-02-18 10:06:04] >>> RECEIVE_IOT_DATA START: Email=skunthal@gitam.in
[2026-02-18 10:06:04] >>> RECEIVE_IOT_DATA START: Email=skunthal@gitam.in
[2026-02-18 10:06:05] >>> RECEIVE_IOT_DATA START: Email=skunthal@gitam.in
[2026-02-18 10:06:05] >>> RECEIVE_IOT_DATA START: Email=skunthal@gitam.in
[2026-02-18 10:06:06] >>> RECEIVE_IOT_DATA START: Email=skunthal@gitam.in
[2026-02-18 10:06:06] >>> RECEIVE_IOT_DATA START: Email=skunthal@gitam.in
[2026-02-18 10:06:06] >>> RECEIVE_IOT_DATA START: Email=skunthal@gitam.in
[2026-02-18 10:06:07] >>> RECEIVE_IOT_DATA START: Email=skunthal@gitam.in
[2026-02-18 10:06:07] >>> RECEIVE_IOT_DATA START: Email=skunthal@gitam.in
[2026-02-18 10:06:07] >>> RECEIVE_IOT_DATA START: Email=skunthal@gitam.in
[2026-02-18 10:06:08] >>> RECEIVE_IOT_DATA START: Email=skunthal@gitam.in
[2026-02-18 10:06:08] >>> RECEIVE_IOT_DATA START: Email=skunthal@gitam.in
[2026-02-18 10:06:09] >>> RECEIVE_IOT_DATA START: Email=skunthal@gitam.in
[2026-02-18 10:06:09] >>> RECEIVE_IOT_DATA START: Email=skunthal@gitam.in
[2026-02-18 10:06:09] >>> RECEIVE_IOT_DATA START: Email=skunthal@gitam.in
[2026-02-18 10:06:10] >>> RECEIVE_IOT_DATA START: Email=skunthal@gitam.in
[2026-02-18 10:06:10] >>> RECEIVE_IOT_DATA START: Email=skunthal@gitam.in
[2026-02-18 10:06:11] >>> RECEIVE_IOT_DATA START: Email=skunthal@gitam.in
[2026-02-18 10:06:11] >>> RECEIVE_IOT_DATA START: Email=skunthal@gitam.in
[2026-02-18 10:06:11] >>> RECEIVE_IOT_DATA START: Email=skunthal@gitam.in
[2026-02-18 10:06:12] >>> RECEIVE_IOT_DATA START: Email=skunthal@gitam.in
[2026-02-18 10:06:14] >>> RECEIVE_IOT_DATA START: Email=skunthal@gitam.in
[2026-02-18 10:06:14] >>> RECEIVE_IOT_DATA START: Email=skunthal@gitam.in
[2026-02-18 10:06:15] >>> RECEIVE_IOT_DATA START: Email=skunthal@gitam.in
[2026-02-18 10:06:15] >>> RECEIVE_IOT_DATA START: Email=skunthal@gitam.in
[2026-02-18 10:06:15] >>> RECEIVE_IOT_DATA START: Email=skunthal@gitam.in
[2026-02-18 10:06:16] >>> RECEIVE_IOT_DATA START: Email=skunthal@gitam.in
[2026-02-18 10:06:16] >>> RECEIVE_IOT_DATA START: Email=skunthal@gitam.in
[2026-02-18 10:06:17] >>> RECEIVE_IOT_DATA START: Email=skunthal@gitam.in
[2026-02-18 10:06:17] >>> RECEIVE_IOT_DATA START: Email=skunthal@gitam.in
[2026-02-18 10:06:18] >>> RECEIVE_IOT_DATA START: Email=skunthal@gitam.in
[2026-02-18 10:06:18] >>> RECEIVE_IOT_DATA START: Email=skunthal@gitam.in
[2026-02-18 10:06:18] >>> RECEIVE_IOT_DATA START: Email=skunthal@gitam.in
[2026-02-18 10:06:19] >>> RECEIVE_IOT_DATA START: Email=skunthal@gitam.in
[2026-02-18 10:06:19] >>> RECEIVE_IOT_DATA START: Email=skunthal@gitam.in
[2026-02-18 10:06:20] >>> RECEIVE_IOT_DATA START: Email=skunthal@gitam.in
[2026-02-18 10:06:20] >>> RECEIVE_IOT_DATA START: Email=skunthal@gitam.in
[2026-02-18 10:06:20] >>> RECEIVE_IOT_DATA START: Email=skunthal@gitam.in
[2026-02-18 10:06:21] >>> RECEIVE_IOT_DATA START: Email=skunthal@gitam.in
[2026-02-18 10:06:21] >>> RECEIVE_IOT_DATA START: Email=skunthal@gitam.in
[2026-02-18 10:06:22] >>> RECEIVE_IOT_DATA START: Email=skunthal@gitam.in
[2026-02-18 10:06:22] >>> RECEIVE_IOT_DATA START: Email=skunthal@gitam.in
[2026-02-18 10:06:23] >>> RECEIVE_IOT_DATA START: Email=skunthal@gitam.in
[2026-02-18 10:06:23] >>> RECEIVE_IOT_DATA START: Email=skunthal@gitam.in
[2026-02-18 10:06:23] >>> RECEIVE_IOT_DATA START: Email=skunthal@gitam.in
[2026-02-18 10:06:24] >>> RECEIVE_IOT_DATA START: Email=skunthal@gitam.in
[2026-02-18 10:06:24] >>> RECEIVE_IOT_DATA START: Email=skunthal@gitam.in
[2026-02-18 10:06:25] >>> RECEIVE_IOT_DATA START: Email=skunthal@gitam.in
[2026-02-18 10:06:25] >>> RECEIVE_IOT_DATA START: Email=skunthal@gitam.in
[2026-02-18 10:06:25] >>> RECEIVE_IOT_DATA START: Email=skunthal@gitam.in
[2026-02-18 10:06:26] >>> RECEIVE_IOT_DATA START: Email=skunthal@gitam.in
[2026-02-18 10:06:26] >>> RECEIVE_IOT_DATA START: Email=skunthal@gitam.in
[2026-02-18 10:06:27] >>> RECEIVE_IOT_DATA START: Email=skunthal@gitam.in
[2026-02-18 10:06:27] >>> RECEIVE_IOT_DATA START: Email=skunthal@gitam.in
[2026-02-18 10:06:27] >>> RECEIVE_IOT_DATA START: Email=skunthal@gitam.in
[2026-02-18 10:06:28] >>> RECEIVE_IOT_DATA START: Email=skunthal@gitam.in
[2026-02-18 10:06:29] >>> RECEIVE_IOT_DATA START: Email=skunthal@gitam.in
[2026-02-18 10:06:29] >>> RECEIVE_IOT_DATA START: Email=skunthal@gitam.in
[2026-02-18 10:06:29] >>> RECEIVE_IOT_DATA START: Email=skunthal@gitam.in
[2026-02-18 10:06:30] >>> RECEIVE_IOT_DATA START: Email=skunthal@gitam.in
[2026-02-18 10:06:30] >>> RECEIVE_IOT_DATA START: Email=skunthal@gitam.in
[2026-02-18 10:06:31] >>> RECEIVE_IOT_DATA START: Email=skunthal@gitam.in
[2026-02-18 10:06:31] >>> RECEIVE_IOT_DATA START: Email=skunthal@gitam.in
[2026-02-18 10:06:31] >>> RECEIVE_IOT_DATA START: Email=skunthal@gitam.in
[2026-02-18 10:06:32] >>> RECEIVE_IOT_DATA START: Email=skunthal@gitam.in
[2026-02-18 10:06:32] >>> RECEIVE_IOT_DATA START: Email=skunthal@gitam.in
[2026-02-18 10:06:33] >>> RECEIVE_IOT_DATA START: Email=skunthal@gitam.in
[2026-02-18 10:06:33] >>> RECEIVE_IOT_DATA START: Email=skunthal@gitam.in
[2026-02-18 10:06:34] >>> RECEIVE_IOT_DATA START: Email=skunthal@gitam.in
[2026-02-18 10:06:34] >>> RECEIVE_IOT_DATA START: Email=skunthal@gitam.in
[2026-02-18 10:06:35] >>> RECEIVE_IOT_DATA START: Email=skunthal@gitam.in
[2026-02-18 10:06:35] >>> RECEIVE_IOT_DATA START: Email=skunthal@gitam.in
[2026-02-18 10:06:35] >>> RECEIVE_IOT_DATA START: Email=skunthal@gitam.in
[2026-02-18 10:06:36] >>> RECEIVE_IOT_DATA START: Email=skunthal@gitam.in
[2026-02-18 10:06:36] >>> RECEIVE_IOT_DATA START: Email=skunthal@gitam.in
[2026-02-18 10:06:37] >>> RECEIVE_IOT_DATA START: Email=skunthal@gitam.in
[2026-02-18 10:06:37] >>> RECEIVE_IOT_DATA START: Email=skunthal@gitam.in
[2026-02-18 10:06:38] >>> RECEIVE_IOT_DATA START: Email=skunthal@gitam.in
[2026-02-18 10:06:38] >>> RECEIVE_IOT_DATA START: Email=skunthal@gitam.in
[2026-02-18 10:06:39] >>> RECEIVE_IOT_DATA START: Email=skunthal@gitam.in
[2026-02-18 10:06:39] >>> RECEIVE_IOT_DATA START: Email=skunthal@gitam.in
[2026-02-18 10:06:39] >>> RECEIVE_IOT_DATA START: Email=skunthal@gitam.in
[2026-02-18 10:06:40] >>> RECEIVE_IOT_DATA START: Email=skunthal@gitam.in
[2026-02-18 10:06:40] >>> RECEIVE_IOT_DATA START: Email=skunthal@gitam.in
[2026-02-18 10:06:41] >>> RECEIVE_IOT_DATA START: Email=skunthal@gitam.in
[2026-02-18 10:06:41] >>> RECEIVE_IOT_DATA START: Email=skunthal@gitam.in
[2026-02-18 10:06:41] >>> RECEIVE_IOT_DATA START: Email=skunthal@gitam.in
[2026-02-18 10:06:42] >>> RECEIVE_IOT_DATA START: Email=skunthal@gitam.in
[2026-02-18 10:06:42] >>> RECEIVE_IOT_DATA START: Email=skunthal@gitam.in
[2026-02-18 10:06:43] >>> RECEIVE_IOT_DATA START: Email=skunthal@gitam.in
[2026-02-18 10:06:43] >>> RECEIVE_IOT_DATA START: Email=skunthal@gitam.in
[2026-02-18 10:06:43] >>> RECEIVE_IOT_DATA START: Email=skunthal@gitam.in
[2026-02-18 10:06:44] >>> RECEIVE_IOT_DATA START: Email=skunthal@gitam.in
